Notable companies,,,,,,,,,,,,,
Name,Industry,Sector,Headquarters,Founded,Notes,,,,,,,,
TP-Link,Technology,Telecommunications equipment,Shenzhen,1996,Computer networking devices,,,,,,,,
Trands,Consumer goods,Clothing & accessories,Dalian,1995,Menswear,,,,,,,,
Tsingtao Brewery,Consumer goods,Brewers,Qingdao,1903,Brewery,,,,,,,,
Vanke,Financials,Real estate holding & development,Shenzhen,1984,Real estate,,,,,,,,
Vinda International,Basic materials,Paper,Xinhui District,1985,Paper,,,,,,,,
Vsun,Technology,Telecommunications equipment,Shenzhen,2011,Mobile phones,,,,,,,,
Wanda Group,Conglomerates,-,Beijing,1988,"Property developer, real estate, hospitality, retail, tourism, culture",,,,,,,,
WuXi PharmaTech,Health care,Pharmaceuticals,Shanghai,2000,Laboratory and manufacturing services,,,,,,,,
Xi'an Aircraft Industrial Corporation,Industrials,Aerospace,Xi'an,1958,Aircraft,,,,,,,,
Xiaomi,Consumer goods,Telecommunications equipment,Beijing,2010,Mobile phones,,,,,,,,
Yili Group,Consumer goods,Food products,Hohhot,1993,Dairy and ice-cream,,,,,,,,
Yonyou,Technology,Software,Beijing,1988,Software,,,,,,,,
Yutong Group,Industrials,Commercial vehicles & trucks,Zhengzhou,1963,Bus manufacturing,,,,,,,,
Zhongjin Gold,Basic materials,Gold mining,Beijing,2000[8],Gold mining,,,,,,,,
Zhongjin Lingnan,Basic materials,Nonferrous metals,Shenzhen,1984,Metal,,,,,,,,
Zoomlion,Industrials,Industrial machinery,Changsha,1992,Heavy machinery,,,,,,,,
ZTE,Technology,Telecommunications equipment,Shenzhen,1985,Telecom equipment,,,,,,,,
ZX Auto,Consumer goods,Automobiles,Baoding,1999,Automobiles,,,,,,,,
